id,name,neighborhood,category,latitude,longitude
venue-kozy-kar,Kozy Kar,Lower Nob Hill/Polk,bar,37.797327,-122.418302
venue-mayes-oyster-house,Mayes Oyster House,Lower Nob Hill/Polk,bar,37.788972,-122.420684
venue-mcteague-s-saloon,McTeague's Saloon,Lower Nob Hill/Polk,bar,37.784215,-122.425955
venue-hemlock-tavern-annex,Hemlock Tavern Annex,Lower Nob Hill/Polk,bar,37.787471,-122.41941
venue-harper-rye,Harper & Rye,Lower Nob Hill/Polk,bar,37.785852,-122.426036
venue-route-101,Route 101,Lower Nob Hill/Polk,bar,37.783465,-122.41864
venue-polkcha,Polkcha,Lower Nob Hill/Polk,lounge,37.785834,-122.413702
venue-hi-lo-club,Hi-Lo Club,Lower Nob Hill/Polk,bar,37.795295,-122.428725
venue-decodance-bar,Decodance Bar,Lower Nob Hill/Polk,bar,37.78597,-122.417958
venue-r-bar,R Bar,Lower Nob Hill/Polk,bar,37.785614,-122.427618
venue-nite-cap,Nite Cap,Lower Nob Hill/Polk,bar,37.796433,-122.419721
venue-jackalope,Jackalope,Lower Nob Hill/Polk,bar,37.78949,-122.415877
venue-rouge-nightclub,Rouge Nightclub,Lower Nob Hill/Polk,club,37.794512,-122.426573
venue-peacekeeper,Peacekeeper,Lower Nob Hill/Polk,bar,37.783854,-122.422241
venue-stookey-s-club-moderne,Stookey's Club Moderne,Lower Nob Hill/Polk,lounge,37.788754,-122.421594
venue-linden-room,Linden Room,Hayes Valley,lounge,37.779836,-122.420979
venue-absinthe-brasserie-bar,Absinthe Brasserie Bar,Hayes Valley,bar,37.783662,-122.431328
venue-anina,Anina,Hayes Valley,bar,37.774939,-122.426993
venue-hazie-s,Hazie’s,Hayes Valley,bar,37.781825,-122.428624
venue-sugar-lounge,Sugar Lounge,Hayes Valley,lounge,37.771753,-122.425025
venue-smuggler-s-cove,Smuggler's Cove,Hayes Valley,bar,37.775228,-122.428086
venue-phonobar,Phonobar,Hayes Valley,live_music,37.772647,-122.416481
venue-brass-tacks,Brass Tacks,Hayes Valley,bar,37.775547,-122.417596
venue-fig-thistle,Fig & Thistle,Hayes Valley,bar,37.777155,-122.432189
venue-rich-table-bar,Rich Table Bar,Hayes Valley,lounge,37.783889,-122.418052
